Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y
Government,1,5528,Alamanda K-9 College,Pri/Sec,O,86-100 Alamanda Boulevard,,Point Cook,VIC,3030,PO Box 6606,,POINT COOK,VIC,3030,03 8376 5200,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.741329,-37.908238
Government,1,5552,Hazel Glen College,Pri/Sec,O,115 Eminence Blvd,,Doreen,VIC,3754,115 Eminence Blvd,,Doreen,VIC,3754,03 9717 7500,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.119368,-37.597553
Government,1,6203,Apollo Bay P-12 College,Pri/Sec,O,20 Pengilley Avenue,,Apollo Bay,VIC,3233,20 Pengilley Avenue,,APOLLO BAY,VIC,3233,03 5237 6483,SOUTH-WESTERN VICTORIA,Barwon,175,Colac-Otway (S),Non Metro,143.660507,-38.753524
Government,1,6212,Collingwood College,Pri/Sec,O,Cnr Cromwell St/McCutcheon Way,,Collingwood,VIC,3066,Private Bag 63,,ABBOTSFORD,VIC,3067,03 9417 6681,NORTH-WESTERN VICTORIA,North Eastern Melbourne,735,Yarra (C),Metro,144.990497,-37.802985
Government,1,6217,East Loddon P-12 College,Pri/Sec,O,793 Dingee Road,,Dingee,VIC,3571,793 Dingee Road,,DINGEE,VIC,3571,03 5431 4444,NORTH-WESTERN VICTORIA,Loddon Campaspe,394,Loddon (S),Non Metro,144.141446,-36.372222
Government,1,6223,Goroke P-12 College,Pri/Sec,O,55 Natimuk-Frances Road,,Goroke,VIC,3412,P O Box 132,,GOROKE,VIC,3412,03 5386 1024,SOUTH-WESTERN VICTORIA,Wimmera South West,689,West Wimmera (S),Non Metro,141.48354,-36.715786
Government,1,6231,Lavers Hill K-12 College,Pri/Sec,O,Great Ocean Road,,Lavers Hill,VIC,3238,Great Ocean Road,,LAVERS HILL,VIC,3238,03 5237 3213,SOUTH-WESTERN VICTORIA,Barwon,175,Colac-Otway (S),Non Metro,143.383051,-38.681844
Government,1,6235,Manangatang P-12 College,Pri/Sec,O,4105 Mallee Highway,,Manangatang,VIC,3546,4105 Mallee Highway,,MANANGATANG,VIC,3546,03 5035 1270,NORTH-WESTERN VICTORIA,Mallee,661,Swan Hill (RC),Non Metro,142.884879,-35.056234
Government,1,6236,Terang College,Pri/Sec,O,45 Strong Street,,Terang,VIC,3264,P O Box 124,,TERANG,VIC,3264,03 5592 1349,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite (S),Non Metro,142.921395,-38.246282
Government,1,6238,Rushworth P-12 College,Pri/Sec,O,45 Heily Street,,Rushworth,VIC,3612,P O Box 20,,RUSHWORTH,VIC,3612,03 5856 1230,NORTH-WESTERN VICTORIA,Loddon Campaspe,137,Campaspe (S),Non Metro,145.014399,-36.583317
Government,1,6242,Macleod College,Pri/Sec,O,Carwarp Street,,Macleod,VIC,3085,P O Box 805,,MACLEOD,VIC,3085,03 9459 0222,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule (C),Metro,145.072218,-37.724746
Government,1,6252,Sherbrooke Community School,Pri/Sec,O,311 Mt Dandenong Tourist Road,,Sassafras,VIC,3787,311 Mt Dandenong Tourist Road,,SASSAFRAS,VIC,3787,03 9755 2007,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,745,Yarra Ranges (S),Metro,145.349444,-37.868244
Government,1,6257,Werrimull P-12 School,Pri/Sec,O,5 McDonald Street,,Werrimull,VIC,3496,Post Office,,WERRIMULL,VIC,3496,03 5028 1251,NORTH-WESTERN VICTORIA,Mallee,478,Mildura (RC),Non Metro,141.593839,-34.390411
Government,1,6259,Camperdown College,Pri/Sec,O,1 Wilson Street,,Camperdown,VIC,3260,P O Box 83,,CAMPERDOWN,VIC,3260,03 5593 1617,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite (S),Non Metro,143.145435,-38.239731
Government,1,6260,Timboon P-12 School,Pri/Sec,O,Bailey Street,,Timboon,VIC,3268,P O Box 82,,TIMBOON,VIC,3268,03 5598 3381,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite (S),Non Metro,142.975889,-38.484056
Government,1,6261,Virtual School Victoria,Pri/Sec,O,315 Clarendon Street,,Thornbury,VIC,3071,315 Clarendon Street,,THORNBURY,VIC,3071,03 9965 0000,NORTH-WESTERN VICTORIA,North Eastern Melbourne,189,Darebin (C),Metro,145.025701,-37.76204
Government,1,6262,Wedderburn College,Pri/Sec,O,15-29 Hospital Street,,Wedderburn,VIC,3518,P O Box 20,,WEDDERBURN,VIC,3518,03 5494 3011,NORTH-WESTERN VICTORIA,Loddon Campaspe,394,Loddon (S),Non Metro,143.61877,-36.417022
Government,1,7028,Mount Erin Secondary College,Secondary,O,43 Robinsons Road,,Frankston South,VIC,3199,43 Robinsons Road,,FRANKSTON SOUTH,VIC,3199,03 5971 6000,SOUTH-EASTERN VICTORIA,Bayside Peninsula,217,Frankston (C),Metro,145.14663,-38.174118
Government,1,7050,Box Hill Senior Secondary College,Secondary,O,Dunloe Avenue,,Mont Albert North,VIC,3129,DUNLOE AVENUE,,MONT ALBERT NORTH,VIC,3129,03 9890 0571,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,698,Whitehorse (C),Metro,145.111907,-37.809243
