School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over
The King David School,,ARMADALE,38,13,,,,110,92,95,100,-,< 4,90,-,34,18.3
Tintern Grammar,,RINGWOOD EAST,38,8,,,,150,29,92,99,-,10,93,I/D,34,17.3
Toorak College,,MOUNT ELIZA,37,2,,,,161,6,100,100,-,14,100,I/D,34,14.8
Waverley Christian College,,WANTIRNA SOUTH,45,19,,,,212,52,93,100,4,18,97,-,34,18.5
Xavier College,,KEW,55,13,,,,374,41,98,100,-,42,99,100,34,14.9
Carey Baptist Grammar School,,KEW,50,18,,Y,,327,32,92,100,-,23,96,I/D,33,11.8
Caulfield Grammar School,,WHEELERS HILL,49,15,,,Y,307,205,96,100,-,30,92,I/D,33,17.2
Donvale Christian College,,DONVALE,56,26,,,,248,69,86,99,-,7,98,75,33,10.7
Glen Waverley Sec College,,GLEN WAVERLEY,71,25,,,,650,52,96,100,4,67,85,I/D,33,14.1
Iona College Geelong,,CHARLEMONT,11,29,,,,65,75,-,-,-,-,93,-,33,6.1
Ivanhoe Grammar School,,MERNDA,30,9,,,,121,11,92,100,-,10,92,-,33,16.0
Kilvington Grammar School,,ORMOND,38,7,,,,159,9,99,100,-,16,100,I/D,33,18.3
Mallacoota P-12 College,*,MALLACOOTA,11,2,,,,9,7,50,100,< 4,-,75,-,33,18.2
Mazenod College,,MULGRAVE,47,35,Y,,,396,329,80,100,39,15,96,I/D,33,13.5
McKinnon Secondary College,,MCKINNON,69,22,Y,,Y,683,47,88,100,18,61,94,I/D,33,17.7
Peninsula Grammar,,MOUNT ELIZA,38,11,,,,220,48,83,99,-,5,71,75,33,15.1
St Margaret's School,,BERWICK,34,3,,,,82,5,93,97,-,< 4,97,-,33,12.8
St Michael's Grammar School,,ST KILDA,48,13,,,Y,218,19,93,100,-,10,92,-,33,13.1
The Geelong College,,NEWTOWN,47,15,,,,266,36,88,100,-,8,100,-,33,14.5
The Knox School,,WANTIRNA SOUTH,31,4,,,,93,6,92,100,-,7,100,I/D,33,7.4
Victorian College of the Arts,,SOUTHBANK,27,3,,,,178,39,68,100,-,< 4,100,-,33,15.2
Westbourne Grammar School,,TRUGANINA,37,2,,,,221,< 4,93,100,-,22,I/D,I/D,33,15.0
Academy of Mary Immaculate,,FITZROY,34,8,,,,147,20,93,100,-,10,100,I/D,32,11.3
Alice Miller School,,MACEDON,26,9,,,,53,29,77,100,-,< 4,84,I/D,32,12.2
Avila College,,MOUNT WAVERLEY,51,28,Y,,,257,84,92,99,10,20,94,I/D,32,11.5
