avg_study_score,school_count,total_schools,suburb,SA2_NAME16
,0,0,CALIVIL,CALIVIL
,0,0,CALLAWADDA,CALLAWADDA
,0,0,CALLIGNEE,CALLIGNEE
,0,0,CALLIGNEE NORTH,CALLIGNEE NORTH
,0,0,CALLIGNEE SOUTH,CALLIGNEE SOUTH
,0,0,CALROSSIE,CALROSSIE
,0,0,CALULU,CALULU
,0,0,CAMBARVILLE,CAMBARVILLE
,0,0,CAMBERWELL,CAMBERWELL
,0,0,CAMBRIAN HILL,CAMBRIAN HILL
,0,0,CAMPBELLFIELD,CAMPBELLFIELD
,0,0,CAMPBELLS BRIDGE,CAMPBELLS BRIDGE
,0,0,CAMPBELLS CREEK,CAMPBELLS CREEK
,0,0,CAMPBELLS FOREST,CAMPBELLS FOREST
,0,0,CAMPBELLTOWN,CAMPBELLTOWN
28.0,1,1,CAMPERDOWN,CAMPERDOWN
,0,0,CANADIAN,CANADIAN
,0,0,CANARY ISLAND,CANARY ISLAND
,0,0,CANIAMBO,CANIAMBO
24.0,1,1,CANN RIVER,CANN RIVER
,0,0,CANNIE,CANNIE
,0,0,CANNONS CREEK,CANNONS CREEK
,0,0,CANNUM,CANNUM
34.0,1,1,CANTERBURY,CANTERBURY
,0,0,CAPE BRIDGEWATER,CAPE BRIDGEWATER
,0,0,CAPE CLEAR,CAPE CLEAR
,0,0,CAPE CONRAN,CAPE CONRAN
,0,0,CAPE OTWAY,CAPE OTWAY
,0,0,CAPE PATERSON,CAPE PATERSON
,0,0,CAPE SCHANCK,CAPE SCHANCK
,0,0,CAPE WOOLAMAI,CAPE WOOLAMAI
,0,0,CAPEL SOUND,CAPEL SOUND
,0,0,CAPELS CROSSING,CAPELS CROSSING
,0,0,CARAG CARAG,CARAG CARAG
,0,0,CARALULUP,CARALULUP
,0,0,CARAMUT,CARAMUT
,0,0,CARAPOOEE,CARAPOOEE
,0,0,CARAPOOEE WEST,CARAPOOEE WEST
,0,0,CARAPOOK,CARAPOOK
,0,0,CARBOOR,CARBOOR
,0,0,CARDIGAN,CARDIGAN
,0,0,CARDIGAN VILLAGE,CARDIGAN VILLAGE
,0,0,CARDINIA,CARDINIA
,0,0,CARDROSS,CARDROSS
,0,0,CARGERIE,CARGERIE
,0,0,CARINA,CARINA
,0,0,CARINGAL,CARINGAL
,0,0,CARISBROOK,CARISBROOK
,0,0,CARLISLE RIVER,CARLISLE RIVER
,0,0,CARLSRUHE,CARLSRUHE
,0,0,CARLTON,CARLTON
,0,0,CARLTON NORTH,CARLTON NORTH
,0,0,CARLYLE,CARLYLE
,0,0,CARNEGIE,CARNEGIE
,0,0,CARNGHAM,CARNGHAM
29.0,1,1,CAROLINE SPRINGS,CAROLINE SPRINGS
,0,0,CARPENDEIT,CARPENDEIT
,0,0,CARRAJUNG,CARRAJUNG
,0,0,CARRAJUNG LOWER,CARRAJUNG LOWER
,0,0,CARRAJUNG SOUTH,CARRAJUNG SOUTH
,0,0,CARRANBALLAC,CARRANBALLAC
,0,0,CARRON,CARRON
,0,0,CARRUM,CARRUM
,0,0,CARRUM DOWNS,CARRUM DOWNS
,0,0,CARWARP,CARWARP
,0,0,CASHMORE,CASHMORE
,0,0,CASSILIS,CASSILIS
,0,0,CASTELLA,CASTELLA
28.0,1,1,CASTERTON,CASTERTON
,0,0,CASTLE CREEK,CASTLE CREEK
,0,0,CASTLE DONNINGTON,CASTLE DONNINGTON
26.0,1,1,CASTLEMAINE,CASTLEMAINE
,0,0,CATANI,CATANI
,0,0,CATHCART,CATHCART
,0,0,CATHKIN,CATHKIN
,0,0,CATUMNAL,CATUMNAL
,0,0,CAULFIELD,CAULFIELD
31.0,1,1,CAULFIELD EAST,CAULFIELD EAST
,0,0,CAULFIELD NORTH,CAULFIELD NORTH
,0,0,CAULFIELD SOUTH,CAULFIELD SOUTH
,0,0,CAVEAT,CAVEAT
,0,0,CAVENDISH,CAVENDISH
,0,0,CERES,CERES
,0,0,CHADSTONE,CHADSTONE
,0,0,CHANDLERS CREEK,CHANDLERS CREEK
,0,0,CHAPEL FLAT,CHAPEL FLAT
,0,0,CHAPPLE VALE,CHAPPLE VALE
,0,0,CHARAM,CHARAM
33.0,1,1,CHARLEMONT,CHARLEMONT
,0,0,CHARLEROI,CHARLEROI
30.0,1,1,CHARLTON,CHARLTON
,0,0,CHATSWORTH,CHATSWORTH
,0,0,CHELSEA,CHELSEA
,0,0,CHELSEA HEIGHTS,CHELSEA HEIGHTS
28.0,1,1,CHELTENHAM,CHELTENHAM
,0,0,CHEPSTOWE,CHEPSTOWE
,0,0,CHEROKEE,CHEROKEE
,0,0,CHERRYPOOL,CHERRYPOOL
,0,0,CHESHUNT,CHESHUNT
,0,0,CHESHUNT SOUTH,CHESHUNT SOUTH
,0,0,CHESNEY VALE,CHESNEY VALE
,0,0,CHETWYND,CHETWYND
,0,0,CHEWTON,CHEWTON
,0,0,CHEWTON BUSHLANDS,CHEWTON BUSHLANDS
,0,0,CHILDERS,CHILDERS
,0,0,CHILLINGOLLAH,CHILLINGOLLAH
,0,0,CHILTERN,CHILTERN
,0,0,CHILTERN VALLEY,CHILTERN VALLEY
,0,0,CHINANGIN,CHINANGIN
,0,0,CHINKAPOOK,CHINKAPOOK
,0,0,CHINTIN,CHINTIN
34.0,1,1,CHIRNSIDE PARK,CHIRNSIDE PARK
,0,0,CHIRRIP,CHIRRIP
,0,0,CHOCOLYN,CHOCOLYN
,0,0,CHRISTMAS HILLS,CHRISTMAS HILLS
,0,0,CHUM CREEK,CHUM CREEK
,0,0,CHURCHILL,CHURCHILL
,0,0,CHURCHILL ISLAND,CHURCHILL ISLAND
,0,0,CHUTE,CHUTE
,0,0,CLARENDON,CLARENDON
,0,0,CLARETOWN,CLARETOWN
,0,0,CLARINDA,CLARINDA
,0,0,CLARKEFIELD,CLARKEFIELD
,0,0,CLARKES HILL,CLARKES HILL
36.0,1,1,CLAYTON,CLAYTON
24.0,1,1,CLAYTON SOUTH,CLAYTON SOUTH
,0,0,CLEAR LAKE,CLEAR LAKE
,0,0,CLEMATIS,CLEMATIS
,0,0,CLIFTON CREEK,CLIFTON CREEK
,0,0,CLIFTON HILL,CLIFTON HILL
,0,0,CLIFTON SPRINGS,CLIFTON SPRINGS
,0,0,CLONBINANE,CLONBINANE
,0,0,CLOVER FLAT,CLOVER FLAT
,0,0,CLOVERLEA,CLOVERLEA
,0,0,CLUB TERRACE,CLUB TERRACE
,0,0,CLUNES,CLUNES
,0,0,CLYDE,CLYDE
29.0,1,1,CLYDE NORTH,CLYDE NORTH
,0,0,CLYDEBANK,CLYDEBANK
,0,0,CLYDESDALE,CLYDESDALE
,0,0,COALVILLE,COALVILLE
,0,0,COBAINS,COBAINS
,0,0,COBAW,COBAW
,0,0,COBBANNAH,COBBANNAH
,0,0,COBBERAS,COBBERAS
,0,0,COBBLEBANK,COBBLEBANK
24.0,1,1,COBDEN,COBDEN
26.0,1,1,COBRAM,COBRAM
,0,0,COBRAM EAST,COBRAM EAST
,0,0,COBRICO,COBRICO
,0,0,COBUNGRA,COBUNGRA
30.0,1,1,COBURG,COBURG
,0,0,COBURG NORTH,COBURG NORTH
,0,0,COCAMBA,COCAMBA
,0,0,COCHRANES CREEK,COCHRANES CREEK
,0,0,COCKATOO,COCKATOO
,0,0,COCOROC,COCOROC
,0,0,CODRINGTON,CODRINGTON
,0,0,COGHILLS CREEK,COGHILLS CREEK
28.0,1,1,COHUNA,COHUNA
,0,0,COIMADAI,COIMADAI
,0,0,COKUM,COKUM
28.0,1,1,COLAC,COLAC
,0,0,COLAC COLAC,COLAC COLAC
